Name,Money,Lean
Big Tree PAC,20168,C
America United,20000,C
Blue Turnout Project,19406,L
Conservative Triumph Fund,18948,C
Women for a More Christian America,18524,L
American Wounded Veterans PAC,18000,X
Concerned Americans for America,17249,C
Keep Florida Great PAC,17146,C
Liberty For Us Super PAC,17000,C
Chinese American Patriots,16500,C
Montana Shooting Sports Assn,16126,C
Bronx United,16000,L
Patriotic Legal Immigrants USA,15780,C
"Our Future, Our Fight PAC",15503,C
Butterflypac,15219,L
Save America Super PAC,14500,C
Freedom For All PAC,14490,C
Reinvesting In America 2020,14130,L
Retired Americans PAC,14095,L
Indiana Conservative Super PAC,13950,C
Common Defense Action Fund,13724,L
Texas Alliance for Life,13604,C
Christians for the President,13577,C
Keystone Conservatives for a Change,12720,C
Defend Conservatives PAC,11656,C
Georgia Blue Project,11499,L
Everyday People PAC,11422,L
Seniors for Affordable Healthcare PAC,11359,C
FPC American Victory Fund,10656,C
Concerned Citizen PAC,10448,C
Freethought Equality Super PAC,10278,L
America First Victory Fund,9847,C
Make the Road Action,9428,L
Don't Look Away Inc,8865,L
Red White & Definitely Blue,8505,L
Question PAC,8452,L
Arizona Leadership Alliance,8340,C
North Country PAC,8200,C
Faith Family Freedom Fund,8114,C
Restore Truth PAC,8000,C
New American Populist PAC,7610,C
Freedom & Prosperity Fund,7500,C
Priority Action PAC,7000,C
Regular People PAC,7000,L
Immigrant Power PAC,6862,L
North Carolina Values Coalition PAC,6445,C
Restore Our Healthcare,6285,C
Pennsylvania Victory Network,5783,C
Judicial Fairness Project,5532,C
Direct Selling Assn,5000,X
No to Joe PAC,5000,C
Secure the Border Super PAC,5000,C
Jewish Floridians for America's Future,4950,C
Senator In Name Only,4867,L
Supreme Billboards,4770,L
Clean Wave,4500,L
Committee for Common Sense Votes in Pennsylvania,4500,L
Disable the Enablers,4500,L
New Beginnings PAC,4500,L
Planned Parenthood/Los Angeles County,4158,L
Climate Hawks Vote,4100,L
Transport Workers Union Voice,4017,L
End Police Brutality,4000,L
Planned Parenthood/Pacific Southwest,3944,L
Ixnay PAC,3913,L
CD1 Alliance,3190,L
Texas Patriots PAC,3165,C
Keep Livingston Great,3157,C
Oregon Progressive Delegates,2795,L
No Stone Unturned PAC,2778,L
Organizing Empowerment PAC,2750,L
Conservatives Of PAC,2650,C
He's Gotta Go PAC,2357,C
Big Nudge PAC,2333,L
Great Virginia PAC,2177,C
Keep Texas Red,2084,C
Service Matters PAC,2000,C
Call to Action PAC,1883,L
Phyllis Schlafly's Eagle PAC,1591,C
People & Politics PAC,1542,C
Our City Our Future PAC,1478,L
Abundance for America,1209,L
Young Leadership Coalition,1036,C
With the Vote PAC,1027,L
7Gen Leaders,1000,L
Our America PAC (Illinois),1000,C
Committee to Affect Change,784,L
Change Congress Now/Cambio Congreso Ya,750,L
Freedom Through Truth,732,C
New Leaders Fund,650,X
Citizens For An Undivided America,600,C
Raise Up PAC,600,C
Disarm the Deep State,590,C
Millennials for Progress,550,L
Best Days Ahead,489,L
Rural & Red PAC,458,C
Mid-MO For Bernie,409,L
Guardian PAC,360,L
The Shadow Projector,331,L
Ohio Strong Action,325,C
TJD PAC,250,L
Making Us Great Again,244,L
Sad Reality Acceptance Cmte,243,L
Patriot Defenders of America,224,C
One Chance Initiative,62,L
Swing State PAC,50,L
Silicon Slopes PAC,19,L
